SmpA	SmpB	Id_s	Al_s
Princess_Irene	Prince_Fred	76.9%	16
Princess_Irene	Nicholas_II_Romanov	7.7%	-25
Princess_Irene	Alexandra_Romanov	38.5%	-5
Princess_Irene	Olga_Romanov	53.8%	5
Princess_Irene	Tatiana_Romanov	19.2%	-18
Princess_Irene	Maria_Romanov	65.4%	12
Princess_Irene	Alexei_Romanov	61.5%	7
Princess_Irene	Suspected_Anastasia	50.0%	3
Princess_Irene	Anastasia1	38.5%	-3
Princess_Irene	Anastasia2	34.6%	-1
Princess_Irene	Anastasia3	46.2%	4
Princess_Irene	Anastasia4_son	53.8%	3
Princess_Irene	Anastasia5	38.5%	-3
Princess_Irene	Farmer's_grandson	61.5%	10
Princess_Irene	Grigori_Rasputin	15.4%	-29
Prince_Fred	Nicholas_II_Romanov	3.8%	-25
Prince_Fred	Alexandra_Romanov	34.6%	-8
Prince_Fred	Olga_Romanov	65.4%	12
Prince_Fred	Tatiana_Romanov	26.9%	-12
Prince_Fred	Maria_Romanov	50.0%	4
Prince_Fred	Alexei_Romanov	46.2%	-1
Prince_Fred	Suspected_Anastasia	46.2%	0
Prince_Fred	Anastasia1	34.6%	-7
Prince_Fred	Anastasia2	42.3%	5
Prince_Fred	Anastasia3	30.8%	-4
Prince_Fred	Anastasia4_son	50.0%	1
Prince_Fred	Anastasia5	38.5%	-3
Prince_Fred	Farmer's_grandson	53.8%	3
Prince_Fred	Grigori_Rasputin	15.4%	-27
Nicholas_II_Romanov	Alexandra_Romanov	3.8%	-15
Nicholas_II_Romanov	Olga_Romanov	3.8%	-21
Nicholas_II_Romanov	Tatiana_Romanov	0.0%	-14
Nicholas_II_Romanov	Maria_Romanov	7.7%	-20
Nicholas_II_Romanov	Alexei_Romanov	3.8%	-23
Nicholas_II_Romanov	Suspected_Anastasia	3.8%	-24
Nicholas_II_Romanov	Anastasia1	11.5%	-22
Nicholas_II_Romanov	Anastasia2	7.7%	-19
Nicholas_II_Romanov	Anastasia3	3.8%	-25
