	Alexandra_Romanov	Alexei_Romanov	Anastasia1	Anastasia2	Anastasia3	Anastasia4_son	Anastasia5	Farmer's_grandson	Grigori_Rasputin	Maria_Romanov	Nicholas_II_Romanov	Olga_Romanov	Prince_Fred	Princess_Irene	Suspected_Anastasia	Tatiana_Romanov
Alexandra_Romanov	100	15.4	26.9	11.5	23.1	30.8	15.4	30.8	7.7	26.9	3.8	26.9	34.6	38.5	23.1	15.4
Alexei_Romanov	15.4	100	26.9	26.9	38.5	34.6	30.8	46.2	19.2	46.2	3.8	34.6	46.2	61.5	30.8	7.7
Anastasia1	26.9	26.9	100	30.8	19.2	30.8	19.2	30.8	11.5	26.9	11.5	30.8	34.6	38.5	23.1	15.4
Anastasia2	11.5	26.9	30.8	100	15.4	23.1	19.2	26.9	11.5	26.9	7.7	34.6	42.3	34.6	19.2	15.4
Anastasia3	23.1	38.5	19.2	15.4	100	26.9	15.4	34.6	23.1	38.5	3.8	19.2	30.8	46.2	23.1	7.7
Anastasia4_son	30.8	34.6	30.8	23.1	26.9	100	53.8	46.2	19.2	34.6	3.8	34.6	50.0	53.8	69.2	19.2
Anastasia5	15.4	30.8	19.2	19.2	15.4	53.8	100	34.6	15.4	30.8	3.8	23.1	38.5	38.5	57.7	0.0
Farmer's_grandson	30.8	46.2	30.8	26.9	34.6	46.2	34.6	100	19.2	57.7	7.7	30.8	53.8	61.5	34.6	7.7
Grigori_Rasputin	7.7	19.2	11.5	11.5	23.1	19.2	15.4	19.2	100	11.5	15.4	7.7	15.4	15.4	11.5	3.8
Maria_Romanov	26.9	46.2	26.9	26.9	38.5	34.6	30.8	57.7	11.5	100	7.7	26.9	50.0	65.4	30.8	3.8
Nicholas_II_Romanov	3.8	3.8	11.5	7.7	3.8	3.8	3.8	7.7	15.4	7.7	100	3.8	3.8	7.7	3.8	0.0
Olga_Romanov	26.9	34.6	30.8	34.6	19.2	34.6	23.1	30.8	7.7	26.9	3.8	100	65.4	53.8	30.8	26.9
Prince_Fred	34.6	46.2	34.6	42.3	30.8	50.0	38.5	53.8	15.4	50.0	3.8	65.4	100	76.9	46.2	26.9
Princess_Irene	38.5	61.5	38.5	34.6	46.2	53.8	38.5	61.5	15.4	65.4	7.7	53.8	76.9	100	50.0	19.2
Suspected_Anastasia	23.1	30.8	23.1	19.2	23.1	69.2	57.7	34.6	11.5	30.8	3.8	30.8	46.2	50.0	100	11.5
Tatiana_Romanov	15.4	7.7	15.4	15.4	7.7	19.2	0.0	7.7	3.8	3.8	0.0	26.9	26.9	19.2	11.5	100
