	a4s	ale	alx	an1	an2	an3	an5	fgs	fre	ire	mar	nik	olg	ras	sus	tat
a4s	100	44.4	48.9	51.1	53.3	55.6	84.4	66.7	66.7	71.1	55.6	11.1	53.3	17.8	91.1	26.7
ale	44.4	100	28.9	51.1	42.2	64.4	57.8	68.9	62.2	80.0	71.1	13.3	53.3	15.6	44.4	15.6
alx	48.9	28.9	100	40.0	31.1	40.0	28.9	46.7	46.7	53.3	44.4	31.1	48.9	6.7	44.4	51.1
an1	51.1	51.1	40.0	100	68.9	44.4	35.6	44.4	48.9	57.8	40.0	15.6	53.3	6.7	46.7	22.2
an2	53.3	42.2	31.1	68.9	100	46.7	51.1	48.9	75.6	62.2	51.1	22.2	64.4	26.7	53.3	26.7
an3	55.6	64.4	40.0	44.4	46.7	100	40.0	62.2	55.6	73.3	64.4	8.9	37.8	33.3	57.8	11.1
an5	84.4	57.8	28.9	35.6	51.1	40.0	100	62.2	57.8	57.8	55.6	8.9	48.9	17.8	91.1	15.6
fgs	66.7	68.9	46.7	44.4	48.9	62.2	62.2	100	71.1	86.7	88.9	22.2	46.7	13.3	55.6	11.1
fre	66.7	62.2	46.7	48.9	75.6	55.6	57.8	71.1	100	100.0	73.3	8.9	91.1	4.4	64.4	37.8
ire	71.1	80.0	53.3	57.8	62.2	73.3	57.8	86.7	100.0	100	91.1	8.9	75.6	0.0	71.1	24.4
mar	55.6	71.1	44.4	40.0	51.1	64.4	55.6	88.9	73.3	91.1	100	20.0	48.9	6.7	57.8	13.3
nik	11.1	13.3	31.1	15.6	22.2	8.9	8.9	22.2	8.9	8.9	20.0	100	17.8	17.8	11.1	33.3
olg	53.3	53.3	48.9	53.3	64.4	37.8	48.9	46.7	91.1	75.6	48.9	17.8	100	8.9	51.1	48.9
ras	17.8	15.6	6.7	6.7	26.7	33.3	17.8	13.3	4.4	0.0	6.7	17.8	8.9	100	6.7	8.9
sus	91.1	44.4	44.4	46.7	53.3	57.8	91.1	55.6	64.4	71.1	57.8	11.1	51.1	6.7	100	20.0
tat	26.7	15.6	51.1	22.2	26.7	11.1	15.6	11.1	37.8	24.4	13.3	33.3	48.9	8.9	20.0	100
