	Alexandra_Romanov	Alexei_Romanov	Anastasia1	Anastasia2	Anastasia3	Anastasia4_son	Anastasia5	Farmer's_grandson	Grigori_Rasputin	Maria_Romanov	Nicholas_II_Romanov	Olga_Romanov	Prince_Fred	Princess_Irene	Suspected_Anastasia	Tatiana_Romanov
Alexandra_Romanov	100	28.9	40.0	31.1	40.0	48.9	28.9	46.7	6.7	44.4	31.1	48.9	46.7	53.3	44.4	51.1
Alexei_Romanov	28.9	100	51.1	42.2	64.4	44.4	57.8	68.9	15.6	71.1	13.3	53.3	62.2	80.0	44.4	15.6
Anastasia1	40.0	51.1	100	68.9	44.4	51.1	35.6	44.4	6.7	40.0	15.6	53.3	48.9	57.8	46.7	22.2
Anastasia2	31.1	42.2	68.9	100	46.7	53.3	51.1	48.9	26.7	51.1	22.2	64.4	75.6	62.2	53.3	26.7
Anastasia3	40.0	64.4	44.4	46.7	100	55.6	40.0	62.2	33.3	64.4	8.9	37.8	55.6	73.3	57.8	11.1
Anastasia4_son	48.9	44.4	51.1	53.3	55.6	100	84.4	66.7	17.8	55.6	11.1	53.3	66.7	71.1	91.1	26.7
Anastasia5	28.9	57.8	35.6	51.1	40.0	84.4	100	62.2	17.8	55.6	8.9	48.9	57.8	57.8	91.1	15.6
Farmer's_grandson	46.7	68.9	44.4	48.9	62.2	66.7	62.2	100	13.3	88.9	22.2	46.7	71.1	86.7	55.6	11.1
Grigori_Rasputin	6.7	15.6	6.7	26.7	33.3	17.8	17.8	13.3	100	6.7	17.8	8.9	4.4	0.0	6.7	8.9
Maria_Romanov	44.4	71.1	40.0	51.1	64.4	55.6	55.6	88.9	6.7	100	20.0	48.9	73.3	91.1	57.8	13.3
Nicholas_II_Romanov	31.1	13.3	15.6	22.2	8.9	11.1	8.9	22.2	17.8	20.0	100	17.8	8.9	8.9	11.1	33.3
Olga_Romanov	48.9	53.3	53.3	64.4	37.8	53.3	48.9	46.7	8.9	48.9	17.8	100	91.1	75.6	51.1	48.9
Prince_Fred	46.7	62.2	48.9	75.6	55.6	66.7	57.8	71.1	4.4	73.3	8.9	91.1	100	100.0	64.4	37.8
Princess_Irene	53.3	80.0	57.8	62.2	73.3	71.1	57.8	86.7	0.0	91.1	8.9	75.6	100.0	100	71.1	24.4
Suspected_Anastasia	44.4	44.4	46.7	53.3	57.8	91.1	91.1	55.6	6.7	57.8	11.1	51.1	64.4	71.1	100	20.0
Tatiana_Romanov	51.1	15.6	22.2	26.7	11.1	26.7	15.6	11.1	8.9	13.3	33.3	48.9	37.8	24.4	20.0	100
