	a4s	ale	alx	an1	an2	an3	an5	fgs	fre	ire	mar	nik	olg	ras	sus	tat
a4s	100	34.6	30.8	30.8	23.1	26.9	53.8	46.2	50.0	53.8	34.6	3.8	34.6	19.2	69.2	19.2
ale	34.6	100	15.4	26.9	26.9	38.5	30.8	46.2	46.2	61.5	46.2	3.8	34.6	19.2	30.8	7.7
alx	30.8	15.4	100	26.9	11.5	23.1	15.4	30.8	34.6	38.5	26.9	3.8	26.9	7.7	23.1	15.4
an1	30.8	26.9	26.9	100	30.8	19.2	19.2	30.8	34.6	38.5	26.9	11.5	30.8	11.5	23.1	15.4
an2	23.1	26.9	11.5	30.8	100	15.4	19.2	26.9	42.3	34.6	26.9	7.7	34.6	11.5	19.2	15.4
an3	26.9	38.5	23.1	19.2	15.4	100	15.4	34.6	30.8	46.2	38.5	3.8	19.2	23.1	23.1	7.7
an5	53.8	30.8	15.4	19.2	19.2	15.4	100	34.6	38.5	38.5	30.8	3.8	23.1	15.4	57.7	0.0
fgs	46.2	46.2	30.8	30.8	26.9	34.6	34.6	100	53.8	61.5	57.7	7.7	30.8	19.2	34.6	7.7
fre	50.0	46.2	34.6	34.6	42.3	30.8	38.5	53.8	100	76.9	50.0	3.8	65.4	15.4	46.2	26.9
ire	53.8	61.5	38.5	38.5	34.6	46.2	38.5	61.5	76.9	100	65.4	7.7	53.8	15.4	50.0	19.2
mar	34.6	46.2	26.9	26.9	26.9	38.5	30.8	57.7	50.0	65.4	100	7.7	26.9	11.5	30.8	3.8
nik	3.8	3.8	3.8	11.5	7.7	3.8	3.8	7.7	3.8	7.7	7.7	100	3.8	15.4	3.8	0.0
olg	34.6	34.6	26.9	30.8	34.6	19.2	23.1	30.8	65.4	53.8	26.9	3.8	100	7.7	30.8	26.9
ras	19.2	19.2	7.7	11.5	11.5	23.1	15.4	19.2	15.4	15.4	11.5	15.4	7.7	100	11.5	3.8
sus	69.2	30.8	23.1	23.1	19.2	23.1	57.7	34.6	46.2	50.0	30.8	3.8	30.8	11.5	100	11.5
tat	19.2	7.7	15.4	15.4	15.4	7.7	0.0	7.7	26.9	19.2	3.8	0.0	26.9	3.8	11.5	100
